Application;Manufacturer;Metric;Total licenses;License requirement;Available Licenses;Coverage;Compliance;Total license cost (USD);Users;Installations
@RISK 8.0;Palisade;Based on installations;0;1;0;0;-1;0,00;1;1
@RISK 8.3;Palisade;Based on installations;0;1;0;0;-1;0,00;0;1
@RISK 8.5;Lumivero;Based on installations;0;1;0;0;-1;0,00;0;1
@RISK 8.8;Lumivero;Based on installations;0;53;0;0;-53;0,00;0;54
3D Viewer 2;J. Morita Corporation;Based on installations;0;1;0;0;-1;0,00;1;1
3DxNlServer 1;3Dconnexion;Based on installations;0;2;0;0;-2;0,00;2;2
Abutment 2022;Fine Ltd.;Based on installations;0;7;0;0;-7;0,00;0;10
Abutment 2023;Fine Ltd.;Based on installations;0;2;0;0;-2;0,00;1;3
AccuGrade 10;Caterpillar;Based on installations;0;5;0;0;-5;0,00;0;5
AccuGrade 11;Caterpillar;Based on installations;0;5;0;0;-5;0,00;0;5
AccuGrade 6;Caterpillar;Based on installations;0;5;0;0;-5;0,00;0;5
ACDSee 2;ACD Systems;Based on installations;0;1;0;0;-1;0,00;2;0
ACE Pilot 6;Itron;Based on installations;0;6;0;0;-6;0,00;4;6
AcSELerator Architect 1;Schweitzer Engineering Labs, inc;Based on installations;0;1;0;0;-1;0,00;0;1
AcSELerator Architect 2;Schweitzer Engineering Labs, inc;Based on installations;0;3;0;0;-3;0,00;5;3
AcSELerator Quickset 6;Schweitzer Engineering Labs, inc;Based on installations;0;4;0;0;-4;0,00;4;4
AcSELerator Quickset 7;Schweitzer Engineering Labs, inc;Based on installations;0;28;0;0;-28;0,00;24;29
AD Info 1;Cjwdev;Based on installations;0;2;0;0;-2;0,00;5;2
ADJUST FRAME CAMERA 10;ESRI;Based on installations;0;9;0;0;-9;0,00;0;9
ADJUST FRAME CAMERA 16;ESRI;Based on installations;0;401;0;0;-401;0,00;0;401
ADMO 4;Omicron Syntax Data AB;Based on installations;0;2;0;0;-2;0,00;0;2
ADMO 5;Omicron Syntax Data AB;Based on installations;0;4;0;0;-4;0,00;0;4
Adobe Acrobat 2017;Adobe Inc.;Based on installations;0;3;0;0;-3;0,00;3;3
Adobe Acrobat 2017 Professional;Adobe Inc.;Based on installations;2;0;0;0;0;0,00;3;0
Adobe Acrobat 2020;Adobe Inc.;Based on installations;0;53;0;0;-53;0,00;53;52
Adobe Acrobat 5;Adobe Inc.;Based on installations;48;2;48;48;46;0,00;1;2
Adobe Acrobat 6 Standard;Adobe Inc.;Based on installations;0;1;1;1;0;0,00;0;1
Adobe Acrobat 7 Pro;Adobe Inc.;Based on installations;0;5;5;5;0;0,00;5;5
Adobe Acrobat 8 Pro;Adobe Inc.;Based on installations;0;1;1;1;0;0,00;1;1
Adobe Acrobat 8 Standard;Adobe Inc.;Based on installations;3;0;2;2;2;0,00;0;0
Adobe Acrobat 9 Pro;Adobe Inc.;Based on installations;2;5;5;5;0;0,00;5;5
Adobe Acrobat Capture 6;Adobe Inc.;Based on installations;0;1;0;0;-1;0,00;0;1
Adobe Acrobat Pro 2020;Adobe Inc.;Based on installations;56;3;25;25;22;0,00;48;3
Adobe Acrobat X Pro;Adobe Inc.;Based on installations;1;6;6;6;0;0,00;3;6
Adobe Acrobat XI Pro;Adobe Inc.;Based on installations;1;20;20;20;0;0,00;22;20
Adobe Captivate 6;Adobe Inc.;Based on installations;1;1;1;1;0;0,00;0;1
Adobe Captivate 9;Adobe Inc.;Based on installations;2;0;2;2;2;0,00;1;0
Adobe Creative Cloud Pro;Adobe Inc.;Based on total users;0;0;0;0;0;0,00;0;0
Adobe Creative Suite 5 Design Premium;Adobe Inc.;Based on installations;0;1;0;0;-1;0,00;0;1
Adobe Creative Suite 5.5 Design Premium;Adobe Inc.;Based on installations;0;1;0;0;-1;0,00;1;1
Adobe Creative Suite 6 Design Standard;Adobe Inc.;Based on installations;0;8;0;0;-8;0,00;6;8
Adobe Creative Suite 6 Master Collection;Adobe Inc.;Based on installations;1;2;1;1;-1;0,00;1;2
Adobe Dreamweaver CS5.5;Adobe Inc.;Based on installations;3;1;3;3;2;0,00;1;2
Adobe Flash CS5.5 Professional;Adobe Inc.;Based on installations;0;1;0;0;-1;0,00;0;2
Adobe Illustrator CS4;Adobe Inc.;Based on installations;1;0;1;1;1;0,00;0;0
Adobe Photoshop CS Portable 6;Portablesoft.org;Based on installations;0;1;0;0;-1;0,00;0;1
Adobe Photoshop CS6;Adobe Inc.;Based on installations;1;2;1;1;-1;0,00;10;11
Advance Steel 2021;Autodesk, Inc.;Based on installations;0;1;0;0;-1;0,00;0;1
Advance Steel 2024;Autodesk, Inc.;Based on installations;0;17;0;0;-17;0,00;0;16
Advance Steel 2026;Autodesk, Inc.;Based on total users;83;0;0;0;0;0,00;0;0
Agisoft Metashape 1;Agisoft;Based on installations;0;1;0;0;-1;0,00;1;1
Agisoft Metashape 1 Professional;Agisoft;Based on concurrent users;2;0;2;2;2;0,00;4;7
Agisoft Viewer 1;Agisoft;Based on installations;0;8;0;0;-8;0,00;0;7
AGU-Vallen Wavelet 2021;Vallen Systeme GmbH;Based on installations;0;1;0;0;-1;0,00;0;1
AGU-Vallen Wavelet 2022;Vallen Systeme GmbH;Based on installations;0;1;0;0;-1;0,00;0;1
AGU-Vallen Wavelet 2023;Vallen Systeme GmbH;Based on installations;0;1;0;0;-1;0,00;0;1
AIMMS 24.3;AIMMS;Based on installations;0;1;0;0;-1;0,00;1;1
AIMMS 24.5;AIMMS;Based on installations;0;1;0;0;-1;0,00;0;1
AIMMS 24.6;AIMMS;Based on installations;0;2;0;0;-2;0,00;0;2
AIMMS 25.1;AIMMS;Based on installations;0;1;0;0;-1;0,00;0;1
AIMMS 25.5;AIMMS;Based on installations;0;1;0;0;-1;0,00;0;1
AIMMS 25.9;AIMMS;Based on installations;0;1;0;0;-1;0,00;0;1
AIMMS 4;AIMMS;Based on installations;0;25;0;0;-25;0,00;14;25
Airtime 1;mmhmm inc.;Based on installations;0;1;0;0;-1;0,00;0;1
Align 1;BIM 42;Based on installations;0;1;0;0;-1;0,00;0;1
Allievi 3;ITA;Based on installations;0;4;0;0;-4;0,00;0;4
ALPHASET 3;ELSTER Messtechnik GmbH;Based on installations;0;1;0;0;-1;0,00;0;1
AMS Machinery Health Manager 5;Emerson Electric Co;Based on installations;0;1;0;0;-1;0,00;2;1
Anaconda 2019;Anaconda Inc;Based on installations;0;2;0;0;-2;0,00;0;2
Anaconda 2021;Anaconda Inc;Based on installations;0;3;0;0;-3;0,00;0;3
Anaconda 2022;Anaconda Inc;Based on installations;0;18;0;0;-18;0,00;11;18
Anaconda 2023;Anaconda Inc;Based on installations;0;40;0;0;-40;0,00;24;39
Anaconda 2024;Anaconda Inc;Based on installations;0;47;0;0;-47;0,00;20;44
Anaconda 2025;Anaconda Inc;Based on installations;0;5;0;0;-5;0,00;5;5
Andover Continuum 2;Schneider Electric;Based on installations;0;2;0;0;-2;0,00;0;2
Anti-Slide Pile 2023;Fine Ltd.;Based on installations;0;2;0;0;-2;0,00;0;3
