Archivo;Hoja;Campo
AdminLocal_Log.xlsx;Hoja1;FechaHora
AdminLocal_Log.xlsx;Hoja1;Equipo
AdminLocal_Log.xlsx;Hoja1;Usuario
AdminLocal_Log.xlsx;Hoja1;Accion
AdminLocal_Log.xlsx;Hoja1;FechaRetiro
AdminLocal_Log.xlsx;Hoja1;Resultado
Antivirus Estaciones.xlsx;Antivirus Estaciones;Importance
Antivirus Estaciones.xlsx;Antivirus Estaciones;Endpoint
Antivirus Estaciones.xlsx;Antivirus Estaciones;IP Address
Antivirus Estaciones.xlsx;Antivirus Estaciones;Type
Antivirus Estaciones.xlsx;Antivirus Estaciones;Operating System
Antivirus Estaciones.xlsx;Antivirus Estaciones;OS Version
Antivirus Estaciones.xlsx;Antivirus Estaciones;Last Connected
Antivirus Estaciones.xlsx;Antivirus Estaciones;Endpoint Server
Antivirus Estaciones.xlsx;Antivirus Estaciones;User
Antivirus_Servidores.xlsx;Antivirus_Servidores;Icon
Antivirus_Servidores.xlsx;Antivirus_Servidores;Name
Antivirus_Servidores.xlsx;Antivirus_Servidores;Description
Antivirus_Servidores.xlsx;Antivirus_Servidores;Platform
Antivirus_Servidores.xlsx;Antivirus_Servidores;Policy
Antivirus_Servidores.xlsx;Antivirus_Servidores;Status Light
Antivirus_Servidores.xlsx;Antivirus_Servidores;Status
Antivirus_Servidores.xlsx;Antivirus_Servidores;Task(s)
Antivirus_Servidores.xlsx;Antivirus_Servidores;Anti-Malware Status Light
Antivirus_Servidores.xlsx;Antivirus_Servidores;Web Reputation Status Light
Antivirus_Servidores.xlsx;Antivirus_Servidores;Activity Monitoring Status Light
Antivirus_Servidores.xlsx;Antivirus_Servidores;Device Control Status Light
Antivirus_Servidores.xlsx;Antivirus_Servidores;Application Control Status Light
Antivirus_Servidores.xlsx;Antivirus_Servidores;Integrity Monitoring Status Light
Antivirus_Servidores.xlsx;Antivirus_Servidores;Log Inspection Status Light
Antivirus_Servidores.xlsx;Antivirus_Servidores;Firewall Status Light
Antivirus_Servidores.xlsx;Antivirus_Servidores;Intrusion Prevention Status Light
