Application;Manufacturer;Nombre del producto (match);Fabricante (match);% coincidencia
ACE Pilot 6;Itron;Ace Pilot;Itron;100
Adobe Acrobat 2017 Professional;Adobe Inc.;Adobe Acrobat 8 Professional;Adobe Inc.;100
Adobe Acrobat 2020;Adobe Inc.;Adobe Acrobat Pro 2020;Adobe Inc.;100
Adobe Acrobat 5;Adobe Inc.;Adobe Acrobat 5.0;Adobe Inc.;100
Adobe Acrobat 6 Standard;Adobe Inc.;Adobe Acrobat 8 Standard;Adobe Inc.;100
Adobe Acrobat 7 Pro;Adobe Inc.;Adobe Acrobat 9 Pro;Adobe Inc.;100
Adobe Acrobat 8 Pro;Adobe Inc.;Adobe Acrobat 9 Pro;Adobe Inc.;100
Adobe Acrobat 8 Standard;Adobe Inc.;Adobe Acrobat 8 Standard;Adobe Inc.;100
Adobe Acrobat 9 Pro;Adobe Inc.;Adobe Acrobat 9 Pro;Adobe Inc.;100
Adobe Acrobat Pro 2020;Adobe Inc.;Adobe Acrobat 9 Pro;Adobe Inc.;100
Adobe Acrobat X Pro;Adobe Inc.;Adobe Acrobat X Pro;Desconocido;100
Adobe Acrobat XI Pro;Adobe Inc.;Adobe Acrobat XI Pro;Desconocido;100
Adobe Captivate 6;Adobe Inc.;Adobe Captivate 9;Adobe Inc.;100
Adobe Captivate 9;Adobe Inc.;Adobe Captivate 9;Adobe Inc.;100
Adobe Creative Suite 5.5 Design Premium;Adobe Inc.;Adobe Creative Suite 5.5 Web Premium;Adobe Inc.;100
Adobe Creative Suite 6 Master Collection;Adobe Inc.;Adobe Creative Suite 6 Master Collection;Desconocido;100
Adobe Dreamweaver CS5.5;Adobe Inc.;Adobe Dreamweaver CS3;Adobe Inc.;100
Adobe Flash CS5.5 Professional;Adobe Inc.;Adobe Flash CS3 Professional;Adobe Inc.;100
Adobe Illustrator CS4;Adobe Inc.;Adobe Illustrator CS4;Adobe Inc.;100
Adobe Photoshop CS6;Adobe Inc.;Adobe Photoshop CS2;Adobe Inc.;100
Agisoft Metashape 1;Agisoft;Agisoft Metashape;Agisoft;100
Agisoft Metashape 1 Professional;Agisoft;Agisoft Metashape;Agisoft;100
AMS Machinery Health Manager 5;Emerson Electric Co;AMS Machinery Manager;EMERSON;100
Andover Continuum 2;Schneider Electric;Andover Continuum;Schneider Electric;100
ArcGIS Desktop 10.4;ESRI;ArcGIS Desktop;ESRI COLOMBIA S.A.S.;100
ArcGIS Desktop 10.5;ESRI;ArcGIS Desktop;ESRI COLOMBIA S.A.S.;100
ArcGIS Desktop 10.7;ESRI;ArcGIS Desktop;ESRI COLOMBIA S.A.S.;100
ArcGIS Desktop 10.8;ESRI;ArcGIS Desktop;ESRI COLOMBIA S.A.S.;100
ArcGIS Server 10;ESRI;ArcGIS Server;ESRI COLOMBIA S.A.S.;100
AutoCAD 2020;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD 2021;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD 2021 including Specialized Toolsets;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD 2024;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD 2024 including Specialized Toolsets;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD 2026;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Architecture 2018;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Architecture 2020;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Architecture 2021;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Architecture 2026;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Civil 3D 2020;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Civil 3D 2021;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Civil 3D 2024;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Civil 3D 2026;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Map 3D 2019;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Map 3D 2021;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Map 3D 2024;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Mechanical 2021;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD MEP 2019;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Plant 3D 2021;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Plant 3D 2022;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Raster Design 2021;Autodesk, Inc.;AutoCAd;Autodesk;100
AutoCAD Web App (Cloud);Autodesk, Inc.;AutoCAd;Autodesk;100
Autodesk BIM Collaborate Pro 2022 User License;Autodesk, Inc.;Bim Collaborate;Autodesk;100
Autodesk Vault Professional 2019 Client;Autodesk, Inc.;Vault Professional;Autodesk;100
Autodesk Vault Professional 2021 Client;Autodesk, Inc.;Vault Professional;Autodesk;100
Autodesk Vault Professional 2022 Client;Autodesk, Inc.;Vault Professional;Autodesk;100
Autodesk Vault Professional 2024 Client;Autodesk, Inc.;Vault Professional;Autodesk;100
Availability Workbench 5;Isograph Ltd.;Availability Workbench;ISOGRAPH;100
Babylon 5;Babylon Ltd;Babylon;BABYLON;100
Babylon 6;Babylon Ltd;Babylon;BABYLON;100
CHCNAV CoPre 2;CHC NAV;COPRE;CHC NAV;100
COMSOL Multiphysics 6.1;COMSOL AB;Comsol Multiphysics;Comsol Inc.;100
CYPE 2024;CYPE Ingenieros,S.A;CYPE;CYPE Ingenieros SA;100
DIGSI 4 v4;Siemens AG;DIGSI;SIEMENS S.A.;100
DIGSI 5 v9;Siemens AG;DIGSI;SIEMENS S.A.;100
Dran-View 6;Trinergi AB;Dran-View 6;ServiSoft S.A.;100
Easy-Mark 1 Plus;PANDUIT CORP;Easy-Mark Plus;Panduit;100
EcoStruxure Building Operation 3;Schneider Electric;EcoStruxure Building Operation;Schneider Electric;100
EcoStruxure Power Monitoring Expert 11;Schneider Electric;Power Monitoring Expert;Schneider Electric;100
EcoStruxure Power Monitoring Expert 8;Schneider Electric;Power Monitoring Expert;Schneider Electric;100
Enscape 4;Chaos Software GmbH;Enscape;Chaos;100
EViews 11;IHS Markit;EViews 11;Desconocido;100
EViews 13;IHS Markit;EViews 13;QMS;100
